Match_id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,Stadium,Location,Highlights_available
5686059,2008,1st match,2008-04-18,ROYAL CHALLENGERS BANGALORE vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 140 runs,https://www.cricbuzz.com/cricket-scores/10557/rcb-vs-kkr-1st-match-indian-premier-league-2008,M.Chinnaswamy Stadium,Bengaluru,False
7762380,2008,2nd match,2008-04-19,KINGS XI PUNJAB vs CHENNAI SUPER KINGS,Chennai Super Kings won by 33 runs,https://www.cricbuzz.com/cricket-scores/10556/kxip-vs-csk-2nd-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,False
1491263,2008,3rd match,2008-04-19,DELHI CAPITALS vs RAJASTHAN ROYALS,Delhi Daredevils won by 9 wickets (with 29 balls remaining),https://www.cricbuzz.com/cricket-scores/10555/dc-vs-rr-3rd-match-indian-premier-league-2008,Arun Jaitley Stadium,Delhi,False
7662859,2008,4th match,2008-04-20,KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS,Kolkata Knight Riders won by 5 wickets (with 6 balls remaining),https://www.cricbuzz.com/cricket-scores/10554/kkr-vs-dcg-4th-match-indian-premier-league-2008,Eden Gardens,Kolkata,False
8361472,2008,5th match,2008-04-20,MUMBAI INDIANS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining),https://www.cricbuzz.com/cricket-scores/10553/mi-vs-rcb-5th-match-indian-premier-league-2008,Wankhede Stadium,Mumbai,False
9802433,2008,6th match,2008-04-21,RAJASTHAN ROYALS vs KINGS XI PUNJAB,Rajasthan Royals won by 6 wickets (with 11 balls remaining),https://www.cricbuzz.com/cricket-scores/10552/rr-vs-kxip-6th-match-indian-premier-league-2008,Sawai Mansingh Stadium,Jaipur,False
6119559,2008,7th match,2008-04-22,DECCAN CHARGERS vs DELHI CAPITALS,Delhi Daredevils won by 9 wickets (with 42 balls remaining),https://www.cricbuzz.com/cricket-scores/10551/dcg-vs-dc-7th-match-indian-premier-league-2008,Rajiv Gandhi International Stadium,Hyderabad,False
8777005,2008,8th match,2008-04-23,CHENNAI SUPER KINGS vs MUMBAI INDIANS,Chennai Super Kings won by 6 runs,https://www.cricbuzz.com/cricket-scores/10550/csk-vs-mi-8th-match-indian-premier-league-2008,MA Chidambaram Stadium,Chennai,False
8633404,2008,9th match,2008-04-24,DECCAN CHARGERS vs RAJASTHAN ROYALS,Rajasthan Royals won by 3 wickets (with 1 ball remaining),https://www.cricbuzz.com/cricket-scores/10549/dcg-vs-rr-9th-match-indian-premier-league-2008,Rajiv Gandhi International Stadium,Hyderabad,False
9355097,2008,10th match,2008-04-25,KINGS XI PUNJAB vs MUMBAI INDIANS,Kings XI Punjab won by 66 runs,https://www.cricbuzz.com/cricket-scores/10548/kxip-vs-mi-10th-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,False
6264638,2008,11th match,2008-04-26,CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS,Chennai Super Kings won by 9 wickets (with 18 balls remaining),https://www.cricbuzz.com/cricket-scores/10547/csk-vs-kkr-11th-match-indian-premier-league-2008,MA Chidambaram Stadium,Chennai,False
4322213,2008,12th match,2008-04-26,ROYAL CHALLENGERS BANGALORE vs RAJASTHAN ROYALS,Rajasthan Royals won by 7 wickets (with 17 balls remaining),https://www.cricbuzz.com/cricket-scores/10546/rcb-vs-rr-12th-match-indian-premier-league-2008,M.Chinnaswamy Stadium,Bengaluru,False
7982546,2008,13th match,2008-04-27,KINGS XI PUNJAB vs DELHI CAPITALS,Kings XI Punjab won by 4 wickets (with 3 balls remaining),https://www.cricbuzz.com/cricket-scores/10545/kxip-vs-dc-13th-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,False
5770260,2008,14th match,2008-04-27,MUMBAI INDIANS vs DECCAN CHARGERS,Deccan Chargers won by 10 wickets (with 48 balls remaining),https://www.cricbuzz.com/cricket-scores/10543/mi-vs-dcg-14th-match-indian-premier-league-2008,Dr DY Patil Sports Academy,Mumbai,False
6700491,2008,15th match,2008-04-28,ROYAL CHALLENGERS BANGALORE vs CHENNAI SUPER KINGS,Chennai Super Kings won by 13 runs,https://www.cricbuzz.com/cricket-scores/10544/rcb-vs-csk-15th-match-indian-premier-league-2008,M.Chinnaswamy Stadium,Bengaluru,False
9790268,2008,16th match,2008-04-29,KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS,Mumbai Indians won by 7 wickets (with 8 balls remaining),https://www.cricbuzz.com/cricket-scores/10542/kkr-vs-mi-16th-match-indian-premier-league-2008,Eden Gardens,Kolkata,False
1188317,2008,17th match,2008-04-30,DELHI CAPITALS vs ROYAL CHALLENGERS BANGALORE,Delhi Daredevils won by 10 runs,https://www.cricbuzz.com/cricket-scores/10541/dc-vs-rcb-17th-match-indian-premier-league-2008,Arun Jaitley Stadium,Delhi,False
1745431,2008,18th match,2008-05-01,RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS,Rajasthan Royals won by 45 runs,https://www.cricbuzz.com/cricket-scores/10540/rr-vs-kkr-18th-match-indian-premier-league-2008,Sawai Mansingh Stadium,Jaipur,False
1412649,2008,19th match,2008-05-01,DECCAN CHARGERS vs KINGS XI PUNJAB,Kings XI Punjab won by 7 wickets (with 7 balls remaining),https://www.cricbuzz.com/cricket-scores/10539/dcg-vs-kxip-19th-match-indian-premier-league-2008,Rajiv Gandhi International Stadium,Hyderabad,False
5342513,2008,20th match,2008-05-02,CHENNAI SUPER KINGS vs DELHI CAPITALS,Delhi Daredevils won by 8 wickets (with 6 balls remaining),https://www.cricbuzz.com/cricket-scores/10538/csk-vs-dc-20th-match-indian-premier-league-2008,MA Chidambaram Stadium,Chennai,False
7991326,2008,21st match,2008-05-03,ROYAL CHALLENGERS BANGALORE vs DECCAN CHARGERS,Royal Challengers Bangalore won by 3 runs,https://www.cricbuzz.com/cricket-scores/10537/rcb-vs-dcg-21st-match-indian-premier-league-2008,M.Chinnaswamy Stadium,Bengaluru,False
5490326,2008,22nd match,2008-05-03,KINGS XI PUNJAB vs KOLKATA KNIGHT RIDERS,Kings XI Punjab won by 9 runs,https://www.cricbuzz.com/cricket-scores/10535/kxip-vs-kkr-22nd-match-indian-premier-league-2008,Punjab Cricket Association IS Bindra Stadium,Mohali,False
5839401,2008,23rd match,2008-05-04,MUMBAI INDIANS vs DELHI CAPITALS,Mumbai Indians won by 29 runs,https://www.cricbuzz.com/cricket-scores/10536/mi-vs-dc-23rd-match-indian-premier-league-2008,Dr DY Patil Sports Academy,Mumbai,False
9487943,2008,24th match,2008-05-04,RAJASTHAN ROYALS vs CHENNAI SUPER KINGS,Rajasthan Royals won by 8 wickets (with 34 balls remaining),https://www.cricbuzz.com/cricket-scores/10534/rr-vs-csk-24th-match-indian-premier-league-2008,Sawai Mansingh Stadium,Jaipur,False
