IPL_year,Team,Matches Played,Matches_Won,Matches_Lost,Matches_Tied,Overall_Points
2008,RAJASTHAN ROYALS,14,11,3,0,22
2008,KINGS XI PUNJAB,14,10,4,0,20
2008,CHENNAI SUPER KINGS,14,8,6,0,16
2008,DELHI CAPITALS,14,7,6,0,15
2008,MUMBAI INDIANS,14,7,7,0,14
2008,KOLKATA KNIGHT RIDERS,14,6,7,0,13
2008,ROYAL CHALLENGERS BANGALORE,14,4,10,0,8
2008,SUNRISERS HYDERABAD,14,2,12,0,4
2009,DELHI CAPITALS,14,10,4,0,20
2009,CHENNAI SUPER KINGS,14,8,5,0,17
2009,ROYAL CHALLENGERS BANGALORE,14,8,6,0,16
2009,KINGS XI PUNJAB,14,7,7,0,14
2009,SUNRISERS HYDERABAD,14,7,7,0,14
2009,RAJASTHAN ROYALS,14,6,7,1,13
2009,MUMBAI INDIANS,14,5,8,0,11
2009,KOLKATA KNIGHT RIDERS,14,3,10,1,7
2010,MUMBAI INDIANS,14,10,4,0,20
2010,SUNRISERS HYDERABAD,14,8,6,0,16
2010,ROYAL CHALLENGERS BANGALORE,14,7,7,0,14
2010,KOLKATA KNIGHT RIDERS,14,7,7,0,14
2010,DELHI CAPITALS,14,7,7,0,14
2010,CHENNAI SUPER KINGS,14,7,7,1,14
2010,RAJASTHAN ROYALS,14,6,8,0,12
2010,KINGS XI PUNJAB,14,4,10,1,8
2011,ROYAL CHALLENGERS BANGALORE,14,9,4,0,19
2011,MUMBAI INDIANS,14,9,5,0,18
2011,CHENNAI SUPER KINGS,14,9,5,0,18
2011,KOLKATA KNIGHT RIDERS,14,8,6,0,16
2011,KINGS XI PUNJAB,14,7,7,0,14
2011,RAJASTHAN ROYALS,14,6,7,0,13
2011,SUNRISERS HYDERABAD,14,6,8,0,12
2011,KOCHI TUSKERS KERALA,14,6,8,0,12
2011,DELHI CAPITALS,14,4,9,0,9
2011,RISING PUNE SUPERGIANT,14,4,9,0,9
2012,DELHI CAPITALS,16,11,5,0,22
2012,KOLKATA KNIGHT RIDERS,16,10,5,0,21
2012,MUMBAI INDIANS,16,10,6,0,20
2012,ROYAL CHALLENGERS BANGALORE,16,8,7,0,17
2012,CHENNAI SUPER KINGS,16,8,7,0,17
2012,KINGS XI PUNJAB,16,8,8,0,16
2012,RAJASTHAN ROYALS,16,7,9,0,14
2012,SUNRISERS HYDERABAD,16,4,11,0,9
2012,RISING PUNE SUPERGIANT,16,4,12,0,8
2013,CHENNAI SUPER KINGS,16,11,5,0,22
2013,MUMBAI INDIANS,16,11,5,0,22
2013,RAJASTHAN ROYALS,16,10,6,0,20
2013,SUNRISERS HYDERABAD,16,10,6,1,20
2013,ROYAL CHALLENGERS BANGALORE,16,9,7,2,18
2013,KINGS XI PUNJAB,16,8,8,0,16
2013,KOLKATA KNIGHT RIDERS,16,6,10,0,12
2013,RISING PUNE SUPERGIANT,16,4,12,0,8
2013,DELHI CAPITALS,16,3,13,1,6
2014,KINGS XI PUNJAB,14,11,3,0,22
2014,KOLKATA KNIGHT RIDERS,14,9,5,1,18
2014,CHENNAI SUPER KINGS,14,9,5,0,18
2014,MUMBAI INDIANS,14,7,7,0,14
2014,RAJASTHAN ROYALS,14,7,7,1,14
2014,SUNRISERS HYDERABAD,14,6,8,0,12
2014,ROYAL CHALLENGERS BANGALORE,14,5,9,0,10
2014,DELHI CAPITALS,14,2,12,0,4
2015,CHENNAI SUPER KINGS,14,9,5,0,18
2015,MUMBAI INDIANS,14,8,6,0,16
2015,RAJASTHAN ROYALS,14,7,5,1,16
2015,ROYAL CHALLENGERS BANGALORE,14,7,5,0,16
2015,KOLKATA KNIGHT RIDERS,14,7,6,0,15
2015,SUNRISERS HYDERABAD,14,7,7,0,14
2015,DELHI CAPITALS,14,5,8,0,11
2015,KINGS XI PUNJAB,14,3,11,1,6
2016,GUJARAT LIONS,14,9,5,0,18
2016,SUNRISERS HYDERABAD,14,8,6,0,16
